Track_Name,Track_ID,Added_On,Release_Date,Artists,Popularity,Duration,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
I Gotta Feeling,1u0aIMrEBvFkRtgcg264gW,2019-06-11T03:33:34Z,2010-01-01,Black Eyed Peas,0,289186,0.74,0.751,0,-6.324,1,0.0275,0.0792,0.0,0.392,0.634,127.956
"West Coast (feat. Blueface, ALLBLACK & YG)",4EnEGf9JzAJhF1XNY9DJcD,2019-06-09T10:51:12Z,2019-03-28,"G-Eazy,Blueface,ALLBLACK",58,256966,0.882,0.775,10,-4.986,1,0.334,0.0738,0.0,0.701,0.805,98.023
No Limit,2Xqd0wUttjueBfdcltADOv,2019-06-07T17:50:03Z,2017-09-07,G-Eazy,1,245386,0.838,0.771,1,-3.791,1,0.244,0.0117,0.0,0.0853,0.405,175.957
Lady Killers (feat. Hoodie Allen),4HnPZXkx15Y5hfBWh9vtQL,2019-06-07T17:42:52Z,2012-09-26,G-Eazy,56,249400,0.394,0.771,3,-6.873,1,0.29,0.00193,0.0,0.114,0.548,145.947
Can't Feel My Face,22VdIZQfgXJea34mQxlt81,2019-06-02T10:06:15Z,2015-08-28,The Weeknd,80,213520,0.705,0.769,9,-5.526,0,0.0425,0.113,0.0,0.105,0.583,107.949
F**k With U,59wcUkUV5EeMgvRl2cibwW,2019-06-02T06:32:13Z,2015-03-31,Pia Mia,57,193802,0.735,0.635,11,-6.008,1,0.111,0.0863,0.0,0.0928,0.76,97.956
Back In The Ground,7aDDOB0gmQF4nmipy2Rwt2,2019-06-01T18:12:27Z,2017-02-10,"Tyler Bates,Joel J. Richard",30,142893,0.388,0.428,0,-10.658,1,0.0307,0.0367,0.848,0.0775,0.21,89.433
Diamond Heart,4J4zx8xGJpuGndrVc06KaT,2019-05-30T03:18:06Z,2018-09-28,"Alan Walker,Sophia Somajo",62,239834,0.499,0.638,0,-6.145,1,0.0438,0.129,0.0,0.631,0.253,89.98
Sober,0GOJobsbOSIF99y6CGr5o6,2019-05-29T15:57:43Z,2017-12-08,G-Eazy,0,203960,0.558,0.766,6,-5.953,0,0.231,0.263,0.0,0.32,0.182,96.281
Marilyn (feat. Dominique Le Jeune),7xmCwWVmWBawnIzRUdg3Nr,2019-05-29T15:57:06Z,2012-09-26,G-Eazy,54,196216,0.435,0.641,10,-7.274,1,0.104,0.131,0.0,0.273,0.156,115.534
Plastic Dreams (feat. Johanna Fay),2JrttSXqvhuac7ppgNrnl9,2019-05-29T15:57:00Z,2012-09-26,G-Eazy,43,233900,0.514,0.7,9,-8.478,0,0.0591,0.17,5.95e-05,0.164,0.305,85.021
Let's Get Lost (feat. Devon Baldwin),5DSr1NMci58MEgS20vivSL,2019-05-29T15:56:49Z,2014-06-20,G-Eazy,60,240680,0.671,0.672,4,-9.188,0,0.12,0.103,3.98e-05,0.074,0.186,117.96
"Me, Myself & I",40YcuQysJ0KlGQTeGUosTC,2019-05-29T15:55:05Z,2015-12-04,G-Eazy,75,251466,0.756,0.674,0,-6.518,0,0.0959,0.0184,0.0,0.158,0.389,111.995
Him & I (with Halsey),5k38wzpLb15YgncyWdTZE4,2019-05-29T15:55:01Z,2017-12-15,G-Eazy,75,268866,0.589,0.731,2,-6.343,1,0.0868,0.0534,0.0,0.308,0.191,87.908
Tumblr Girls (feat. Christoph Andersson),4Fv6wNYUixnYkj3Dgfrls8,2019-05-29T15:53:13Z,2014-06-20,G-Eazy,62,255680,0.49,0.373,8,-9.762,1,0.26,0.101,0.000105,0.128,0.346,121.889
Let's Get Lost (feat. Devon Baldwin),43e86tfJ2B1REyv7sw6dr9,2019-05-29T15:52:51Z,2014-04-29,G-Eazy,0,240680,0.666,0.673,4,-9.213,0,0.154,0.102,5.73e-05,0.0746,0.191,117.942
I Mean It (feat. Remo),5IRj7ySmm7bNRwij9zxtfY,2019-05-29T15:52:33Z,2014-07-18,G-Eazy,47,236480,0.712,0.562,10,-6.008,1,0.129,0.125,0.0,0.136,0.142,140.0
You Got Me,4ztaHDRJVuQe61KVCIpgqw,2019-05-29T15:52:29Z,2015-12-04,G-Eazy,54,207986,0.743,0.635,11,-9.735,1,0.269,0.013,0.0,0.06,0.55,94.867
Order More,02HEVzkgBW6lss1k8CeWA8,2019-05-29T15:52:13Z,2015-11-13,G-Eazy,0,208840,0.834,0.499,8,-11.988,0,0.412,0.176,0.0,0.0779,0.654,140.026
Just For A Moment (feat. Iselin),66U2Ud0RBGfQ0ZQrI2m8FC,2019-05-28T13:43:36Z,2018-12-14,Gryffin,48,254556,0.53,0.777,1,-6.343,0,0.0515,0.0139,1.69e-05,0.27,0.413,144.016
Different World (feat. CORSAK),1ynVxkQjPcDRlJwYkApoNy,2019-05-26T09:55:37Z,2018-11-30,"Alan Walker,K-391,Sofia Carson",47,202901,0.607,0.76,7,-4.718,0,0.0367,0.0705,0.0,0.14,0.349,129.971
On My Way,4n7jnSxVLd8QioibtTDBDq,2019-05-26T09:55:03Z,2019-03-21,"Alan Walker,Sabrina Carpenter,Farruko",76,193797,0.509,0.689,1,-4.929,0,0.102,0.0209,0.0,0.301,0.297,170.087
Under Control (feat. Hurts),4J7CKHCF3mdL4diUsmW8lq,2019-05-26T09:36:18Z,2014-10-31,Calvin Harris,73,184280,0.544,0.915,8,-3.405,1,0.0841,0.129,0.000914,0.115,0.51,126.094
Everybody Hates Me,6ufrOaf4v6Qady6GiIpQ0s,2019-05-26T06:18:32Z,2018-12-14,The Chainsmokers,61,223466,0.475,0.752,11,-6.596,0,0.0467,0.00703,0.0,0.406,0.515,154.957
